FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
    Other Borrowed Money	N/A	4.05	N/A	N/A	4.42	N/A	N/A	4.49	N/A	N/A	4.36	N/A	N/A	2.19	N/A	
    Subord Notes & Debentures	N/A	0.00	N/A	N/A	3.92	N/A	N/A	4.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Other Interest Expense	0.00	3.78	5	5.28	4.50	77	5.03	4.62	67	4.28	4.33	41	N/A	2.17	N/A	
    All Interest-Bearing Funds	1.43	2.73	4	0.95	2.88	1	1.47	2.96	3	0.39	2.01	1	0.06	0.56	0	

    Memo: Interest on Time Dep Over Ins Limit	1.25	4.10	0	3.33	4.27	11	2.82	4.34	5	2.32	3.29	13	0.74	0.98	33	

 PERCENT OF AVERAGE ASSETS:	
    Total Loan & Leases	51.72	71.11	6	69.08	70.04	45	63.81	70.78	26	71.27	65.65	61	77.61	61.14	84	
       Loans in Domestic Offices	51.72	70.88	6	69.08	69.79	46	63.81	70.55	27	71.27	65.36	61	77.61	60.95	85	
          Real Estate	15.47	55.32	2	22.81	53.78	4	19.40	54.86	2	24.81	50.49	5	24.96	46.57	7	
             Secured by 1-4 Fam Resid Prop	2.21	15.42	6	3.46	14.37	8	3.12	15.24	7	2.96	16.10	5	2.92	14.14	7	
             All Other Loans Sec Real Estate	13.26	38.52	4	19.35	37.98	7	16.28	38.31	5	21.85	33.04	20	22.03	31.24	24	
          Commercial & Industrial	2.44	9.04	10	4.45	9.01	23	3.52	8.95	15	3.98	7.47	23	5.04	7.30	36	
          Individual	19.74	1.51	97	21.53	1.59	96	23.08	1.55	98	18.07	1.73	98	21.30	1.56	98	
             Credit Card	13.57	0.02	99	19.36	0.02	99	17.35	0.02	99	23.21	0.01	99	25.83	0.01	99	
          Agricultural	0.00	0.91	30	0.00	0.87	30	0.00	0.92	29	0.00	1.98	24	0.19	1.90	44	
       Loans in Foreign Offices	N/A	0.77	N/A	N/A	0.57	N/A	N/A	0.66	N/A	N/A	1.00	N/A	N/A	0.69	N/A	
    Total Investment Securities	8.13	17.79	18	6.76	19.51	13	7.75	18.53	17	6.73	24.03	11	4.56	24.57	8	
       US Treas & Agency (Excl MBS)	3.25	3.01	63	3.62	3.88	60	3.69	3.49	63	2.54	5.76	36	0.88	5.59	21	
       Mortgage Backed Securities	3.95	7.49	34	1.63	7.49	21	2.76	7.39	27	2.56	6.97	32	2.00	7.25	28	
       All Other Securities	0.92	5.42	18	1.51	5.97	25	1.31	5.64	23	1.63	7.95	21	1.68	8.24	21	
    Interest-Bearing Bank Balances	28.92	5.05	99	17.47	4.46	96	22.33	4.77	98	12.57	4.41	90	7.78	7.23	61	
    Federal Funds Sold & Resales	0.00	0.13	55	0.00	0.11	56	0.00	0.11	52	0.00	0.44	44	0.00	0.64	43	
    Total Interest Bearing Deposits	43.91	68.61	1	57.22	66.98	16	53.87	67.68	8	54.66	65.16	13	60.94	65.23	33	
       Transaction Accounts	12.98	14.18	48	14.29	12.87	56	12.69	13.16	50	5.39	15.07	16	0.77	15.63	2	
       Other Savings Deposits	13.53	28.99	8	19.48	29.88	20	18.31	29.52	17	24.97	27.44	44	26.68	31.50	37	
       Time Deposits	17.40	23.01	30	23.45	21.36	61	22.86	22.48	56	24.30	20.14	68	33.49	15.63	93	
       Foreign Office Deposits	N/A	6.96	N/A	N/A	5.69	N/A	N/A	6.50	N/A	N/A	0.03	N/A	N/A	0.02	N/A	

    Federal Funds Purchased & Repos	0.00	0.30	51	0.00	0.38	48	0.00	0.36	31	0.00	0.33	37	0.00	0.32	41	
    Other Borrowed Money	0.04	2.50	25	1.46	3.87	30	0.63	3.37	26	0.04	2.86	20	0.00	1.36	24	
    Subord Notes & Debentures	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.01	99	0.00	0.01	99	
    Other Interest Expense Balances	0.04	2.51	25	1.46	3.87	30	0.63	3.37	26	0.04	2.87	20	0.00	1.37	24	
    All Interest-Bearing Funds	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	

    Time Deposits Over Ins Limit	0.02	6.96	0	0.19	6.09	1	0.08	6.65	0	0.13	5.56	0	0.44	3.71	3	




FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Balance Sheet $
OCC Charter # 0			County: JACKSON			Balance Sheet $--Page 4						7/23/2025 12:03:09 PM
Public Report
																Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		1 Quarter	1 Year
 Assets:																		
 Real Estate Loans		268,288			229,556			241,011			238,082			211,940		11.32	16.87	
    Construction & Development		67,364			58,274			62,933			58,029			56,193		7.04	15.60	
    Farmland		6,714			7,206			6,927			7,359			8,132		-3.07	-6.83	
    1-4 Family Residential		34,821			33,491			37,702			32,139			22,282		-7.64	3.97	
    Multifamily		22,210			31,457			22,307			35,645			21,077		-0.43	-29.40	
    Non-Farm Non-Residential		137,179			99,128			111,142			104,910			104,256		23.43	38.39	
    RE Loans in Foreign Offices		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
 Commercial Loans		38,604			42,818			42,281			48,650			37,509		-8.70	-9.84	
 Individual Loans		493,433			411,922			478,191			395,726			358,908		3.19	19.79	
 Agricultural Loans		0			0			0			0			0		N/A	N/A	
 Other Loans & Leases		6,735			233			3,438			9,383			8,201		95.90	2790.56	
    ACL on LN&LS HFI		6,509			4,655			5,423			4,321			3,060		20.03	39.83	
    Unearned Income		543			506			571			539			98		-4.90	7.31	
       Net Loans & Leases		800,008			679,368			758,927			686,982			613,400		5.41	17.76	
 U.S. Treasury & Agency Securities		124,424			41,406			84,475			47,070			23,456		47.29	200.50	
 Municipal Securities		11,271			11,280			11,254			11,390			9,708		0.15	-0.08	
 Foreign Debt Securities		0			0			0			0			0		N/A	N/A	
 All Other Securities		23,652			9,760			23,415			12,923			13,895		1.01	142.34	
    HTM Securities Allowance		0			0			0			0			N/A		N/A	N/A	
       Net Securities		159,347			62,446			119,144			71,383			47,059		33.74	155.18	
 Interest-Bearing Bank Balances		564,551			224,914			516,131			87,060			56,068		9.38	151.01	
 Federal Funds Sold		0			0			0			0			0		N/A	N/A	
 Sec Purch Under Agreemt to Resell		0			0			0			0			0		N/A	N/A	
 Trading Account Assets		0			0			0			0			0		N/A	N/A	
    Total Investments		723,898			287,360			635,275			158,443			103,127		13.95	151.91	
    Total Earning Assets		1,523,906			966,728			1,394,202			845,425			716,527		9.30	57.64	

 Nonint Cash & Due From Banks		14,811			15,488			28,729			27,528			37,046		-48.45	-4.37	
 Premises, Fix Assts, Cap Leases		8,344			8,585			8,461			8,674			8,978		-1.38	-2.81	
 Other Real Estate Owned		0			800			0			800			2,294		N/A	-100.00	
 Dir & Indir Inv RE Ventures		0			0			0			0			0		N/A	N/A	
 Inv in Unconsolidated Subs		0			0			0			0			0		N/A	N/A	
 Other Assets		200,871			54,924			155,255			52,757			52,403		29.38	265.73	
    Total Assets		1,747,932			1,046,525			1,586,647			935,184			817,248		10.17	67.02	
 Average Assets During Quarter		1,688,049			1,025,836			1,482,291			984,950			821,464		13.88	64.55	

 Liabilities:																		
 Demand Deposits		1,004,932			413,015			886,551			356,886			220,628		13.35	143.32	
 All Now & ATS Accounts		0			0			0			0			1,711		N/A	N/A	
 Money Market Deposit Accounts		37,712			24,718			52,167			9,244			47,821		-27.71	52.57	
 Other savings Deposits		186,976			175,702			166,396			179,801			182,131		12.37	6.42	
 Time Deps At Or Below Insurance Limit		306,542			258,329			281,727			216,453			219,058		8.81	18.66	
 Less: Fully Insured Brokered Deposits		308,437			258,133			338,381			215,279			215,850		-8.85	19.49	
    Core Deposits		1,227,725			613,631			1,048,460			547,105			455,499		17.10	100.08	
 Fully Insured Brokered Deposits		308,437			258,133			338,381			215,279			215,850		-8.85	19.49	
 Time Deps Above Insurance Limit		322			1,829			321			1,816			3,071		0.31	-82.39	
 Deposits in Foreign Offices		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
    Total Deposits		1,536,484			873,593			1,387,162			764,200			674,420		10.76	75.88	
 Federal Funds Purchased		0			0			0			0			0		N/A	N/A	
 Sec Sold Under Agreemt to Repurch		0			0			0			0			0		N/A	N/A	
 Fed Home Loan Bor Mat < 1 Year		0			0			0			10,483			0		N/A	N/A	
 Fed Home Loan Bor Mat > 1 Year		655			0			655			0			0		0.00	N/A	
 Oth Borrowing Mat < 1 Year		0			4,744			0			0			0		N/A	-100.00	
 Oth Borrowing Mat > 1 Year		0			0			0			0			0		N/A	N/A	
 Subordinated Notes & Debentures		0			0			0			0			0		N/A	N/A	
 Other Liabilities		39,864			30,225			34,909			26,286			26,747		14.19	31.89	
    Total Liabilities		1,577,003			908,562			1,422,726			800,969			701,167		10.84	73.57	
 Total Bank Capital & Min Int		170,929			137,963			163,921			134,215			116,081		4.28	23.89	
    Total Liabilities & Capital		1,747,932			1,046,525			1,586,647			935,184			817,248		10.17	67.02	

 Memoranda:																		
 Officers, Shareholder Loans (#)		1			1			1			1			1				
 Officers, Shareholder Loans ($)		1,157			952			1,157			950			968		0.00	21.53	
 Held-to-Maturity Securities		0			0			0			0			0		N/A	N/A	
 Available-for-Sale Securities		157,377			60,507			117,207			69,420			45,128		34.27	160.10	
 Non-Interest Bearing Deposits		679,603			220,511			541,436			275,419			217,129		25.52	208.19	
 Estimate of Uninsured Deposits		446,125			N/A			N/A			N/A			N/A		N/A	N/A	
 Deposit Accounts > $250M		607,623			393,909			547,524			307,105			211,898		10.98	54.25	
 All Brokered Deposits		317,031			258,133			349,545			215,279			215,850		-9.30	22.82	
 Brokered Reciprocal Deposits		2,137			798			55,282			0			0		-96.13	167.79	
 Listing Service Deposits		0			0			0			0			0		N/A	N/A	
 LN&LS in Foreign Offices		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
 Loans Held for Sale (HFS)		77,163			45,728			82,918			36,194			347		-6.94	68.74	
 Loans Held for Investment (HFI)		729,354			638,295			681,432			655,109			616,113		7.03	14.27	

 Allowance for Credit Losses (ACL):																		
 ACL on LN&LS HFI		6,509			4,655			5,423			4,321			3,061		20.03	39.83	
 ACL on AFS/HTM Sec		0			0			0			0			N/A		N/A	N/A	
 ACL on Other Fin Assets		0			0			0			0			N/A		N/A	N/A	
 ACL on Off Bal Sheet Exp		286			153			292			201			0		-2.05	86.93	
 Total ACL		6,795			4,808			5,715			4,522			3,061		18.90	41.33	
    Less: ACL for Purch Cred-Deterior		0			0			0			0			N/A		N/A	N/A	
    Less: ACL for AFS Securities		0			0			0			0			N/A		N/A	N/A	
    Less: Allocated Transfer Risk Resv		0			0			0			0			0		N/A	N/A	
 Total Adjusted ACL		6,795			4,808			5,715			4,522			3,061		18.90	41.33	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Off Balance Sheet Items
OCC Charter # 0			County: JACKSON			Off Balance Sheet Items--Page 5						7/23/2025 12:03:10 PM
Public Report
																Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		1 Quarter	1 Year
 Outstanding (% of Total Assets)	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Home Equity (1-4 Family)	0.15	1.94	14	0.22	1.84	18	0.19	1.91	16	0.29	1.47	27	0.66	1.46	38	
    Credit Card	13.30	0.16	99	10.52	0.16	98	11.55	0.16	99	9.06	0.06	99	10.44	0.06	99	
    Commercial RE Secured by RE	1.78	4.30	17	3.57	4.57	39	2.32	4.29	23	4.22	3.39	66	3.07	3.98	43	
       1-4 Fam Residential Const & Land	0.91	0.97	55	1.99	0.99	79	1.09	0.98	61	2.16	1.01	81	1.40	1.24	62	
       Comml RE, Oth Const & Land	0.87	3.08	14	1.58	3.38	23	1.23	3.06	19	2.06	2.05	53	1.67	2.33	42	
    Commercial RE Not Secured by RE	0.00	0.01	81	0.00	0.02	82	0.00	0.01	82	0.00	0.00	91	0.00	0.00	91	
    All Other	38.56	6.72	99	12.79	7.04	85	37.19	6.67	99	6.07	5.75	58	2.50	5.97	19	
       Total LN&LS Commitments	53.78	14.11	99	27.11	14.86	94	51.24	14.06	99	19.65	11.56	90	16.66	12.39	76	
    Securities Underwriting	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 Standby Letters of Credit	0.03	0.30	14	0.05	0.29	17	0.03	0.31	12	0.27	0.20	69	0.28	0.20	69	
    Amount Conveyed to Others	N/A	0.02	N/A	N/A	0.01	N/A	N/A	0.02	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
 Commercial Letters of Credit	0.00	0.00	87	0.00	0.00	89	0.00	0.00	88	0.00	0.00	89	0.00	0.00	89	

 Assets Securitized or Sold w/Rec	0.00	0.36	71	0.00	0.30	72	0.00	0.36	71	0.00	0.38	78	0.00	0.37	78	
    Amount of Recourse Exposure	N/A	0.04	N/A	N/A	0.03	N/A	N/A	0.04	N/A	N/A	0.01	N/A	N/A	0.02	N/A	

 Credit Derivatives Bank as Guarantor	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.01	N/A	
 Credit Derivatives Bank as Beneficiary	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 All Oth Off-Balance Sheet Items	0.00	0.81	69	0.00	0.71	70	0.00	0.83	68	0.00	0.62	77	0.00	0.50	78	

 Off-Balance Sheet Items	53.81	16.92	98	27.15	17.50	86	51.27	16.92	98	19.92	14.17	78	16.94	14.86	65	

 Outstanding ($000)																		
    Home Equity (1-4 Family)		2,553			2,333			2,943			2,741			5,355		-13.25	9.43	
    Credit Card		232,493			110,145			183,321			84,751			85,288		26.82	111.08	
    Commercial RE Secured by RE		31,072			37,320			36,732			39,487			25,068		-15.41	-16.74	
       1-4 Fam Residential Const & Land		15,862			20,823			17,228			20,189			11,446		-7.93	-23.82	
       Commercial RE, Oth Const & Land		15,210			16,497			19,504			19,298			13,622		-22.02	-7.80	
    Commercial RE Not Secured by RE		0			0			0			0			0		N/A	N/A	
    All Other		674,006			133,900			590,080			56,761			20,407		14.22	403.37	
    Securities Underwriting		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
 Memo: Unused Commit w/mat GT 1 YR		N/A			N/A			34,266			35,406			39,907		N/A	N/A	

 Standby Letters of Credit		443			483			443			2,520			2,298		0.00	-8.28	
    Amount Conveyed to Others		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
 Commercial Letters of Credit		0			0			0			0			0		N/A	N/A	

 Assets Securitized or Sold w/recourse		0			0			0			0			0		N/A	N/A	
    Amount of Recourse Exposure		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 Credit Derivatives Bank as Guarantor		N/A			N/A			N/A			N/A			N/A		N/A	N/A	
 Credit Derivatives Bank as Beneficiary		N/A			N/A			N/A			N/A			N/A		N/A	N/A	

 All Oth Off-Balance Sheet Items		0			0			0			0			0		N/A	N/A	

 Off-Balance Sheet Items		940,567			284,181			813,519			186,260			138,416		15.62	230.97	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Derivative Instruments
OCC Charter # 0			County: JACKSON			Derivative Instruments--Page 5A						7/23/2025 12:03:10 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Notional Amount ($000)																		
 Derivative Contracts		0			0			0			0			0				
    Interest Rate Contracts		0			0			0			0			0				
    Other Derivative Contracts		0			0			0			0			0				
       Foreign Exchange Contracts		N/A			N/A			N/A			N/A			N/A				
       Equity, Comm & Oth Contracts		N/A			N/A			N/A			N/A			N/A				

 Derivatives Position																		
    Future and Forwards		N/A			N/A			N/A			N/A			N/A				
    Written Options		N/A			N/A			N/A			N/A			N/A				
       Exchange Traded		N/A			N/A			N/A			N/A			N/A				
       Over-the-Counter		N/A			N/A			N/A			N/A			N/A				
    Purchased Options		N/A			N/A			N/A			N/A			N/A				
       Exchange Traded		N/A			N/A			N/A			N/A			N/A				
       Over-the-Counter		N/A			N/A			N/A			N/A			N/A				
    Swaps		N/A			N/A			N/A			N/A			N/A				

 Held-for-Trading		0			0			0			0			0				
    Interest Rate Contracts		0			0			0			0			0				
    Other Derivative Contracts		0			0			0			0			0				
       Foreign Exchange Contracts		N/A			N/A			N/A			N/A			N/A				
       Equity, Comm & Oth Contracts		N/A			N/A			N/A			N/A			N/A				
 Non-Traded		0			0			0			0			0				
    Interest Rate Contracts		0			0			0			0			0				
    Other Derivative Contracts		0			0			0			0			0				
       Foreign Exchange Contracts		N/A			N/A			N/A			N/A			N/A				
       Equity, Comm & Oth Contracts		N/A			N/A			N/A			N/A			N/A				
    Memo: Marked-to-Market		N/A			N/A			N/A			N/A			N/A				

 Derivative Contracts (RBC Def)		N/A			N/A			0			0			0				
    One Year or Less		N/A			N/A			0			0			0				
    Over 1 Year to 5 Years		N/A			N/A			0			0			0				
    Over 5 Years		N/A			N/A			0			0			0				

 Gross Negative Fair Value		N/A			N/A			N/A			N/A			N/A				
 Gross Positive Fair Value		N/A			N/A			N/A			N/A			N/A				
    Held-for-Trading		N/A			N/A			N/A			N/A			N/A				
    Non-Traded		N/A			N/A			N/A			N/A			N/A				
    Memo: Marked-to-Market		N/A			N/A			N/A			N/A			N/A				
 Current Credit Exposure All Derivatives		N/A			N/A			0			0			0				
 Credit Losses Off_BS Derivatives		N/A			N/A			N/A			N/A			N/A				

 Past Due Derivatives Instruments:																		
    Fair Value Carried as Assets		N/A			N/A			N/A			N/A			N/A				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Derivative Analysis
OCC Charter # 0			County: JACKSON			Derivative Analysis--Page 5B						7/23/2025 12:03:11 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Percent of Notional Amounts	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Interest Rate Contracts	N/A	99.13	N/A	N/A	98.45	N/A	N/A	99.18	N/A	N/A	97.15	N/A	N/A	97.48	N/A	
 Other Derivative Contracts	N/A	0.01	N/A	N/A	0.03	N/A	N/A	0.01	N/A	N/A	2.85	N/A	N/A	2.52	N/A	
    Foreign Exchange Contracts	N/A	1.21	N/A	N/A	1.35	N/A	N/A	1.17	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Equity, Comm & Oth Contracts	N/A	1.79	N/A	N/A	1.03	N/A	N/A	1.64	N/A	N/A	1.33	N/A	N/A	1.27	N/A	

 Derivatives Position	
    Futures and Forwards	N/A	13.49	N/A	N/A	12.92	N/A	N/A	12.70	N/A	N/A	17.56	N/A	N/A	23.83	N/A	
    Written Options	N/A	10.61	N/A	N/A	12.31	N/A	N/A	9.90	N/A	N/A	17.25	N/A	N/A	18.54	N/A	
       Exchange Traded	N/A	0.16	N/A	N/A	0.09	N/A	N/A	0.28	N/A	N/A	2.67	N/A	N/A	1.27	N/A	
       Over-the-Counter	N/A	10.43	N/A	N/A	12.21	N/A	N/A	9.60	N/A	N/A	16.75	N/A	N/A	18.26	N/A	
    Purchased Options	N/A	1.97	N/A	N/A	1.41	N/A	N/A	1.63	N/A	N/A	0.07	N/A	N/A	0.67	N/A	
       Exchange Traded	N/A	0.07	N/A	N/A	0.03	N/A	N/A	0.10	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
       Over-the-Counter	N/A	1.90	N/A	N/A	1.38	N/A	N/A	1.52	N/A	N/A	0.07	N/A	N/A	0.67	N/A	
    Swaps	N/A	40.52	N/A	N/A	38.00	N/A	N/A	40.80	N/A	N/A	15.94	N/A	N/A	10.98	N/A	

 Held-for-Trading	N/A	3.58	N/A	N/A	4.32	N/A	N/A	3.43	N/A	N/A	2.27	N/A	N/A	2.30	N/A	
    Interest Rate Contracts	N/A	3.58	N/A	N/A	3.96	N/A	N/A	3.43	N/A	N/A	2.35	N/A	N/A	2.50	N/A	
    Other Derivative Contracts	N/A	0.00	N/A	N/A	0.35	N/A	N/A	0.00	N/A	N/A	0.50	N/A	N/A	0.12	N/A	
       Foreign Exchange Contracts	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
       Equity, Comm & Oth Contracts	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
 Non-Traded	N/A	55.45	N/A	N/A	53.30	N/A	N/A	57.37	N/A	N/A	14.90	N/A	N/A	20.14	N/A	
    Interest Rate Contracts	N/A	41.00	N/A	N/A	36.98	N/A	N/A	41.03	N/A	N/A	18.24	N/A	N/A	22.38	N/A	
    Other Derivative Contracts	N/A	0.01	N/A	N/A	0.01	N/A	N/A	0.01	N/A	N/A	2.34	N/A	N/A	2.40	N/A	
       Foreign Exchange Contracts	N/A	1.21	N/A	N/A	1.35	N/A	N/A	1.17	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
